Round,Client 1,Client 2,Client 3,Client 4,Client 5
1,0.9755419677598666,0.8200100553041729,0.688304007097442,0.6181376518218623,0.6778637770897833
2,0.9674819344080045,0.8293950058655941,0.7366553304746414,0.6851821862348179,0.718421052631579
3,0.8367148415786548,0.6465560583207642,0.6899305042141062,0.7127125506072874,0.7603715170278638
4,0.9749861033907726,0.8282218870454164,0.7044211148898418,0.6421052631578947,0.694891640866873
5,0.9715119510839355,0.836768895592425,0.7402040514564542,0.6879352226720648,0.7222910216718266
6,0.9651195108393552,0.8335847159376572,0.7634186012124796,0.7214574898785425,0.7464396284829722
7,0.9748471372984991,0.8345902463549523,0.7197989058110306,0.6625101214574899,0.7091331269349845
8,0.9591439688715954,0.824534942182001,0.7650450983291439,0.7379757085020243,0.7639318885448917
9,0.9709560867148416,0.8389475448298978,0.756321159248854,0.7067206477732794,0.7393188854489164
10,0.9666481378543635,0.8355957767722474,0.7691852728079255,0.728744939271255,0.7529411764705882
